decision_id,title,category,severity,confidence,risk_score,evidence,predicted_impact,recommended_action,status,created_at
AI-DEC-001,Gate B Congestion Re-routing,crowd,low,0.87,14,"Queue exceeding 800 people at Gate B, average wait is 18 minutes. Nearby Gate C is only 30% utilized.",Queue build-up will create secondary pressure on turnstiles and escalate safety risks in 15 minutes.,Redirect 20% of incoming attendees to Gate C using digital signs and push alerts.,approved,2026-04-20T06:10:00
AI-DEC-002,AI Operational Optimization (FACILITY),facility,medium,0.91,17,Telemetry indicators suggest anomaly patterns in recent logs.,System efficiency could decline if no optimization actions are taken.,Verify facility configurations and deploy maintenance inspectors.,pending,2026-04-14T20:18:00
AI-DEC-003,AI Operational Optimization (FACILITY),facility,low,0.78,11,Telemetry indicators suggest anomaly patterns in recent logs.,System efficiency could decline if no optimization actions are taken.,Verify facility configurations and deploy maintenance inspectors.,pending,2026-04-25T14:50:00
AI-DEC-004,AI Operational Optimization (FACILITY),facility,low,0.82,12,Telemetry indicators suggest anomaly patterns in recent logs.,System efficiency could decline if no optimization actions are taken.,Verify facility configurations and deploy maintenance inspectors.,approved,2026-04-23T16:58:00
AI-DEC-005,AI Operational Optimization (WEATHER),weather,low,0.84,40,Telemetry indicators suggest anomaly patterns in recent logs.,System efficiency could decline if no optimization actions are taken.,Verify facility configurations and deploy maintenance inspectors.,approved,2026-05-04T19:56:00
AI-DEC-006,AI Operational Optimization (EMERGENCY),emergency,medium,0.89,35,Telemetry indicators suggest anomaly patterns in recent logs.,System efficiency could decline if no optimization actions are taken.,Verify facility configurations and deploy maintenance inspectors.,rejected,2026-04-27T16:14:00
AI-DEC-007,AI Operational Optimization (EMERGENCY),emergency,medium,0.82,22,Telemetry indicators suggest anomaly patterns in recent logs.,System efficiency could decline if no optimization actions are taken.,Verify facility configurations and deploy maintenance inspectors.,approved,2026-04-16T04:39:00
AI-DEC-008,Gate B Congestion Re-routing,crowd,low,0.99,13,"Queue exceeding 800 people at Gate B, average wait is 18 minutes. Nearby Gate C is only 30% utilized.",Queue build-up will create secondary pressure on turnstiles and escalate safety risks in 15 minutes.,Redirect 20% of incoming attendees to Gate C using digital signs and push alerts.,pending,2026-04-19T08:40:00
AI-DEC-009,AI Operational Optimization (WEATHER),weather,low,0.76,17,Telemetry indicators suggest anomaly patterns in recent logs.,System efficiency could decline if no optimization actions are taken.,Verify facility configurations and deploy maintenance inspectors.,approved,2026-04-08T20:37:00
AI-DEC-010,AI Operational Optimization (EMERGENCY),emergency,low,0.85,18,Telemetry indicators suggest anomaly patterns in recent logs.,System efficiency could decline if no optimization actions are taken.,Verify facility configurations and deploy maintenance inspectors.,approved,2026-04-03T00:21:00
