ticket_id,user_id,match_id,seat,section,gate_id,category,qr_token,scan_status,scan_time,fraud_score
1,1043,56,S-C-93,Sec-10,15,VIP,QR-42D272832003,Scanned,2026-05-15T19:11:00,8
2,9825,57,S-D-45,Sec-11,5,Club,QR-A7F3C342FA75,Scanned,2026-05-16T16:42:00,14
3,4091,58,S-B-74,Sec-13,11,Club,QR-A7476A33ABD0,Scanned,2026-05-17T19:24:00,10
4,8750,59,S-D-50,Sec-5,8,Club,QR-726521D3A77A,Scanned,2026-05-18T23:09:00,10
5,2645,60,S-D-13,Sec-17,10,General,QR-AC4FF59A42F6,Scanned,2026-05-19T20:48:00,10
6,3530,61,S-A-61,Sec-9,4,General,QR-9166B097755B,Scanned,2026-05-20T20:44:00,13
7,9743,62,S-D-41,Sec-16,9,Club,QR-1608CB4B7F5B,Scanned,2026-05-21T23:00:00,10
8,5709,63,S-B-96,Sec-3,11,General,QR-09842E20D8DB,Scanned,2026-05-22T21:03:00,7
9,3726,64,S-C-4,Sec-2,10,General,QR-07CF529E68CD,Scanned,2026-05-23T16:55:00,14
10,7142,55,S-D-19,Sec-8,3,General,QR-28059AC515A4,Scanned,2026-05-14T20:05:00,11
11,3869,56,S-A-79,Sec-13,16,Club,QR-B68026746EFD,Scanned,2026-05-15T20:34:00,5
12,4805,57,S-D-82,Sec-9,5,Premium,QR-A9355D343C3A,Scanned,2026-05-16T15:13:00,4
13,5713,58,S-B-10,Sec-15,10,VIP,QR-480A52A6D60B,Scanned,2026-05-17T21:18:00,14
14,8485,59,S-C-26,Sec-13,9,VIP,QR-CB8A47692392,Scanned,2026-05-18T21:32:00,8
15,6882,60,S-C-90,Sec-10,10,General,QR-B63887D2B77A,Scanned,2026-05-19T20:20:00,12
16,1804,61,S-D-37,Sec-8,1,Club,QR-41ED7C5A9BCF,Scanned,2026-05-20T20:10:00,0
17,5107,62,S-B-81,Sec-4,11,VIP,QR-D1FB5FCCAB68,Scanned,2026-05-21T22:24:00,6
18,6978,63,S-B-12,Sec-10,7,VIP,QR-B163B5932B4E,Scanned,2026-05-22T19:28:00,1
19,3166,64,S-C-68,Sec-17,9,Club,QR-B85F4B748677,Scanned,2026-05-23T16:36:00,6
20,5836,55,S-C-15,Sec-15,3,Premium,QR-9CE5F4207647,Scanned,2026-05-14T20:15:00,15
21,6993,56,S-A-51,Sec-1,12,Premium,QR-209A25C37778,Scanned,2026-05-15T20:23:00,12
22,5296,57,S-D-82,Sec-12,3,General,QR-C3AD15637065,Scanned,2026-05-16T15:24:00,11
23,6375,58,S-B-83,Sec-3,7,Premium,QR-DF65FFBFAA40,Scanned,2026-05-17T19:20:00,0
24,3291,59,S-A-5,Sec-10,10,VIP,QR-357434BF3572,Scanned,2026-05-18T21:36:00,3
25,9808,60,S-B-50,Sec-15,10,General,QR-2E88D4D5A8BA,Scanned,2026-05-19T20:56:00,7
26,2623,61,S-D-79,Sec-14,3,Club,QR-F47C6E0E429A,Scanned,2026-05-20T20:41:00,13
27,8265,62,S-D-31,Sec-12,9,General,QR-89A02549CC41,Scanned,2026-05-21T21:46:00,6
28,1993,63,S-D-36,Sec-7,7,VIP,QR-6763B15F62BA,Scanned,2026-05-22T19:01:00,11
29,1350,64,S-A-43,Sec-8,7,Club,QR-ACDF5CD2C1AC,Scanned,2026-05-23T16:57:00,6
30,4539,55,S-B-43,Sec-5,2,Premium,QR-33586C181340,Scanned,2026-05-14T21:03:00,6
31,3130,56,S-C-23,Sec-4,16,General,QR-CA02C97028E7,Scanned,2026-05-15T20:10:00,4
32,6870,57,S-B-76,Sec-11,6,General,QR-1AB6E59F006E,Scanned,2026-05-16T16:47:00,0
33,3077,58,S-D-68,Sec-4,7,Premium,QR-DCDC0DADACAE,Scanned,2026-05-17T20:13:00,1
34,9409,59,S-A-58,Sec-17,7,Club,QR-C746D3F098FC,Scanned,2026-05-18T21:26:00,11
35,8505,60,S-A-8,Sec-16,8,General,QR-8C04912D0D57,Scanned,2026-05-19T19:07:00,9
36,8268,61,S-A-11,Sec-11,4,Club,QR-BC2E64A121DB,Scanned,2026-05-20T20:53:00,15
37,5506,62,S-C-49,Sec-20,11,Premium,QR-788CC6E13548,Scanned,2026-05-21T23:04:00,4
38,2625,63,S-A-84,Sec-18,11,VIP,QR-628772345206,Scanned,2026-05-22T19:24:00,13
39,7780,64,S-C-59,Sec-13,8,Club,QR-FA501A897620,Scanned,2026-05-23T15:25:00,7
40,6121,55,S-C-48,Sec-5,4,General,QR-D35A05CE7FA8,Scanned,2026-05-14T20:00:00,13
41,2528,56,S-D-13,Sec-12,15,General,QR-3A2918FB1CD7,Scanned,2026-05-15T20:57:00,2
42,7731,57,S-C-86,Sec-14,2,General,QR-7504F2CBB91F,Scanned,2026-05-16T15:56:00,3
43,2698,58,S-B-20,Sec-16,7,VIP,QR-E204561AFA4C,Scanned,2026-05-17T20:01:00,11
44,2883,59,S-C-74,Sec-8,8,General,QR-EE9BB9F3DD1E,Scanned,2026-05-18T21:51:00,11
45,3956,60,S-C-90,Sec-10,10,General,QR-1827962B4B2C,Scanned,2026-05-19T20:12:00,0
46,3348,61,S-D-9,Sec-5,3,VIP,QR-1EA511C89D18,Scanned,2026-05-20T21:19:00,5
47,7164,62,S-D-59,Sec-11,7,General,QR-BD0E7B15AFEF,Scanned,2026-05-21T21:05:00,6
48,2392,63,S-A-20,Sec-6,8,VIP,QR-21B1815B9028,Scanned,2026-05-22T20:01:00,10
49,8260,64,S-D-63,Sec-20,11,General,QR-49C01F4A2A85,Scanned,2026-05-23T17:00:00,8
50,9395,55,S-A-45,Sec-14,4,Club,QR-149A4AC7680A,Scanned,2026-05-14T20:11:00,6
51,1745,56,S-B-51,Sec-20,12,VIP,QR-146A3D5BC75F,Scanned,2026-05-15T19:16:00,9
52,4461,57,S-B-98,Sec-9,1,General,QR-D96333DFF215,Scanned,2026-05-16T16:28:00,9
53,9150,58,S-D-23,Sec-5,9,VIP,QR-4D911A5CF524,Scanned,2026-05-17T20:50:00,0
54,2181,59,S-D-95,Sec-2,10,Premium,QR-756E488DD3B8,Scanned,2026-05-18T21:12:00,11
55,6130,60,S-D-74,Sec-13,10,General,QR-C076463E157D,Scanned,2026-05-19T19:23:00,2
56,7637,61,S-A-42,Sec-6,6,Club,QR-5BC19FF69D72,Scanned,2026-05-20T20:06:00,3
