scan_id,ticket_id,scan_time,gate_id,scanner_id,result,details
1,1,2026-05-15T19:11:00,15,SCN-15-3,Success,Access granted
2,2,2026-05-16T16:42:00,5,SCN-5-3,Success,Access granted
3,3,2026-05-17T19:24:00,11,SCN-11-1,Success,Access granted
4,4,2026-05-18T23:09:00,8,SCN-8-4,Success,Access granted
5,5,2026-05-19T20:48:00,10,SCN-10-4,Success,Access granted
6,6,2026-05-20T20:44:00,4,SCN-4-3,Success,Access granted
7,7,2026-05-21T23:00:00,9,SCN-9-3,Success,Access granted
8,8,2026-05-22T21:03:00,11,SCN-11-4,Success,Access granted
9,9,2026-05-23T16:55:00,10,SCN-10-3,Success,Access granted
10,10,2026-05-14T20:05:00,3,SCN-3-1,Success,Access granted
11,11,2026-05-15T20:34:00,16,SCN-16-3,Success,Access granted
12,12,2026-05-16T15:13:00,5,SCN-5-4,Success,Access granted
13,13,2026-05-17T21:18:00,10,SCN-10-1,Success,Access granted
14,14,2026-05-18T21:32:00,9,SCN-9-4,Success,Access granted
15,15,2026-05-19T20:20:00,10,SCN-10-2,Success,Access granted
16,16,2026-05-20T20:10:00,1,SCN-1-2,Success,Access granted
17,17,2026-05-21T22:24:00,11,SCN-11-1,Success,Access granted
18,18,2026-05-22T19:28:00,7,SCN-7-1,Success,Access granted
19,19,2026-05-23T16:36:00,9,SCN-9-2,Success,Access granted
20,20,2026-05-14T20:15:00,3,SCN-3-2,Success,Access granted
21,21,2026-05-15T20:23:00,12,SCN-12-3,Success,Access granted
22,22,2026-05-16T15:24:00,3,SCN-3-2,Success,Access granted
23,23,2026-05-17T19:20:00,7,SCN-7-3,Success,Access granted
24,24,2026-05-18T21:36:00,10,SCN-10-3,Success,Access granted
25,25,2026-05-19T20:56:00,10,SCN-10-3,Success,Access granted
26,26,2026-05-20T20:41:00,3,SCN-3-3,Success,Access granted
27,27,2026-05-21T21:46:00,9,SCN-9-1,Success,Access granted
28,28,2026-05-22T19:01:00,7,SCN-7-4,Success,Access granted
29,29,2026-05-23T16:57:00,7,SCN-7-3,Success,Access granted
30,30,2026-05-14T21:03:00,2,SCN-2-2,Success,Access granted
31,31,2026-05-15T20:10:00,16,SCN-16-2,Success,Access granted
32,32,2026-05-16T16:47:00,6,SCN-6-1,Success,Access granted
33,33,2026-05-17T20:13:00,7,SCN-7-2,Success,Access granted
34,34,2026-05-18T21:26:00,7,SCN-7-4,Success,Access granted
35,35,2026-05-19T19:07:00,8,SCN-8-3,Success,Access granted
36,36,2026-05-20T20:53:00,4,SCN-4-3,Success,Access granted
37,37,2026-05-21T23:04:00,11,SCN-11-1,Success,Access granted
38,38,2026-05-22T19:24:00,11,SCN-11-1,Success,Access granted
39,39,2026-05-23T15:25:00,8,SCN-8-1,Success,Access granted
40,40,2026-05-14T20:00:00,4,SCN-4-1,Success,Access granted
41,41,2026-05-15T20:57:00,15,SCN-15-1,Success,Access granted
42,42,2026-05-16T15:56:00,2,SCN-2-3,Success,Access granted
43,43,2026-05-17T20:01:00,7,SCN-7-4,Success,Access granted
44,44,2026-05-18T21:51:00,8,SCN-8-4,Success,Access granted
45,45,2026-05-19T20:12:00,10,SCN-10-4,Success,Access granted
46,46,2026-05-20T21:19:00,3,SCN-3-1,Success,Access granted
