item_id,type,category,description,location_lost,location_found,time_lost,time_found,status,matched_item_id,match_score
1,Lost,Electronics,Samsung Galaxy S22 with cracked back,Eden Gardens - South Stand 1,,2026-04-22T10:14:00,,Matched,251,0.92
2,Lost,Apparel,Lost/Found apparel item near seat area,Wankhede Stadium - Food Court West 1,,2026-05-04T08:34:00,,Matched,252,0.78
3,Lost,Keys,Lost/Found keys item near seat area,Narendra Modi Stadium - Food Court East 1,,2026-04-03T11:13:00,,Matched,253,0.91
4,Lost,Apparel,Lost/Found apparel item near seat area,Narendra Modi Stadium - Concourse Upper B 1,,2026-04-19T20:33:00,,Matched,254,0.84
5,Lost,Electronics,Red noise-cancelling headphones,Eden Gardens - South Stand 1,,2026-04-17T14:59:00,,Matched,255,0.77
6,Lost,Bags/Backpacks,Lost/Found bags/backpacks item near seat area,Narendra Modi Stadium - Grand Stand 1,,2026-04-15T07:11:00,,Matched,256,0.86
7,Lost,Electronics,Black iPhone 13 in transparent case,Wankhede Stadium - VIP Lounge South 1,,2026-04-23T18:36:00,,Matched,257,0.93
8,Lost,Bags/Backpacks,Lost/Found bags/backpacks item near seat area,Wankhede Stadium - Club Clubhouse 1,,2026-05-05T08:40:00,,Matched,258,0.82
9,Lost,Bags/Backpacks,Lost/Found bags/backpacks item near seat area,Wankhede Stadium - Concourse Lower A 1,,2026-04-28T21:33:00,,Matched,259,0.87
10,Lost,Bags/Backpacks,Lost/Found bags/backpacks item near seat area,Eden Gardens - VIP Lounge South 1,,2026-04-25T20:41:00,,Matched,260,0.79
11,Lost,Apparel,Lost/Found apparel item near seat area,Wankhede Stadium - Concourse Lower A 1,,2026-04-06T00:19:00,,Matched,261,0.9
12,Lost,Apparel,Lost/Found apparel item near seat area,Wankhede Stadium - Concourse Lower A 1,,2026-04-28T22:55:00,,Matched,262,0.81
13,Lost,Wallets/IDs,Black cardholder containing credit cards,Eden Gardens - Press Box 1,,2026-04-17T11:25:00,,Matched,263,0.78
14,Lost,Bags/Backpacks,Lost/Found bags/backpacks item near seat area,Eden Gardens - East Stand 1,,2026-04-23T16:51:00,,Matched,264,0.82
15,Lost,Wallets/IDs,Indian Passport under name Rohit,Eden Gardens - South Pavilion 1,,2026-04-03T08:04:00,,Matched,265,0.8
16,Lost,Wallets/IDs,Indian Passport under name Rohit,Eden Gardens - East Stand 1,,2026-04-16T23:16:00,,Matched,266,0.76
17,Lost,Wallets/IDs,Brown leather wallet with driver's license,Eden Gardens - South Pavilion 1,,2026-04-23T18:37:00,,Matched,267,0.9
18,Lost,Wallets/IDs,Brown leather wallet with driver's license,Narendra Modi Stadium - Corporate Box B 1,,2026-04-12T09:33:00,,Matched,268,0.94
