sensor_id,name,type,zone_id,status,last_reading,current_value,health_score
SEN-002,Wankhede Stadium - Concourse Upper B 1 - Backup Generator,Backup Generator,31,Healthy,2026-04-01T08:01:00,12.0,94
SEN-003,Eden Gardens - South Pavilion 1 - HVAC Temp Sensor,HVAC Temp Sensor,30,Healthy,2026-04-01T08:02:00,22.3,88
SEN-004,Eden Gardens - East Stand 1 - Wi-Fi Access Point,Wi-Fi Access Point,21,Healthy,2026-04-01T08:03:00,163,85
SEN-005,Narendra Modi Stadium - Concourse Upper A 1 - Escalator Vibration Sensor,Escalator Vibration Sensor,5,Healthy,2026-04-01T08:04:00,0.221,97
SEN-006,Eden Gardens - Press Box 1 - Water Flow Meter,Water Flow Meter,18,Healthy,2026-04-01T08:05:00,44.3,89
SEN-007,Eden Gardens - Corporate Box B 1 - HVAC Temp Sensor,HVAC Temp Sensor,20,Healthy,2026-04-01T08:06:00,19.3,99
SEN-008,Narendra Modi Stadium - Corporate Box A 1 - HVAC Temp Sensor,HVAC Temp Sensor,4,Healthy,2026-04-01T08:07:00,22.3,100
SEN-009,Wankhede Stadium - Medical Center A 1 - HVAC Temp Sensor,HVAC Temp Sensor,33,Healthy,2026-04-01T08:08:00,21.1,97
SEN-010,Wankhede Stadium - High Court Stand 1 - HVAC Temp Sensor,HVAC Temp Sensor,37,Healthy,2026-04-01T08:09:00,23.9,88
SEN-011,Narendra Modi Stadium - Food Court West 1 - Water Flow Meter,Water Flow Meter,7,Healthy,2026-04-01T08:10:00,37.8,97
SEN-012,Narendra Modi Stadium - North Stand 1 - Water Flow Meter,Water Flow Meter,1,Healthy,2026-04-01T08:11:00,15.1,100
SEN-013,Eden Gardens - VIP Lounge North 1 - Escalator Vibration Sensor,Escalator Vibration Sensor,28,Healthy,2026-04-01T08:12:00,0.179,86
SEN-014,Wankhede Stadium - Concourse Upper B 1 - Lighting Controller,Lighting Controller,31,Healthy,2026-04-01T08:13:00,50.0,100
SEN-015,Narendra Modi Stadium - VIP Lounge North 1 - HVAC Temp Sensor,HVAC Temp Sensor,3,Healthy,2026-04-01T08:14:00,23.9,93
SEN-016,Wankhede Stadium - Club Clubhouse 1 - Lighting Controller,Lighting Controller,40,Healthy,2026-04-01T08:15:00,50.0,99
SEN-017,Eden Gardens - Concourse Lower A 1 - Backup Generator,Backup Generator,17,Healthy,2026-04-01T08:16:00,12.0,88
SEN-018,Eden Gardens - Food Court West 1 - Escalator Vibration Sensor,Escalator Vibration Sensor,19,Healthy,2026-04-01T08:17:00,0.227,96
SEN-019,Narendra Modi Stadium - South Stand 1 - HVAC Temp Sensor,HVAC Temp Sensor,16,Healthy,2026-04-01T08:18:00,24.5,85
SEN-020,Wankhede Stadium - South Stand 1 - Water Flow Meter,Water Flow Meter,32,Healthy,2026-04-01T08:19:00,9.6,88
SEN-021,Eden Gardens - VIP Lounge North 1 - Wi-Fi Access Point,Wi-Fi Access Point,28,Healthy,2026-04-01T08:20:00,60,94
SEN-022,Wankhede Stadium - Club Clubhouse 1 - Backup Generator,Backup Generator,40,Healthy,2026-04-01T08:21:00,100.0,100
SEN-023,Eden Gardens - Food Court West 1 - Wi-Fi Access Point,Wi-Fi Access Point,19,Healthy,2026-04-01T08:22:00,145,97
SEN-024,Wankhede Stadium - Concourse Lower A 1 - Escalator Vibration Sensor,Escalator Vibration Sensor,35,Healthy,2026-04-01T08:23:00,0.365,86
SEN-025,Eden Gardens - Corporate Box B 1 - Lighting Controller,Lighting Controller,20,Healthy,2026-04-01T08:24:00,50.0,99
SEN-026,Eden Gardens - Concourse Lower A 1 - HVAC Temp Sensor,HVAC Temp Sensor,17,Healthy,2026-04-01T08:25:00,21.5,90
SEN-027,Narendra Modi Stadium - High Court Stand 1 - Wi-Fi Access Point,Wi-Fi Access Point,11,Healthy,2026-04-01T08:26:00,64,89
SEN-028,Wankhede Stadium - Grand Stand 1 - Lighting Controller,Lighting Controller,38,Healthy,2026-04-01T08:27:00,50.0,91
SEN-029,Eden Gardens - Press Box 1 - Wi-Fi Access Point,Wi-Fi Access Point,18,Healthy,2026-04-01T08:28:00,59,92
SEN-030,Wankhede Stadium - Grand Stand 1 - Lighting Controller,Lighting Controller,38,Healthy,2026-04-01T08:29:00,50.0,94
SEN-031,Narendra Modi Stadium - Concourse Lower B 1 - Water Flow Meter,Water Flow Meter,9,Healthy,2026-04-01T08:30:00,44.8,85
SEN-032,Wankhede Stadium - VIP Lounge South 1 - Escalator Vibration Sensor,Escalator Vibration Sensor,39,Healthy,2026-04-01T08:31:00,0.035,92
SEN-033,Eden Gardens - Corporate Box A 1 - Lighting Controller,Lighting Controller,26,Healthy,2026-04-01T08:32:00,0.0,98
SEN-034,Narendra Modi Stadium - Concourse Upper A 1 - Water Flow Meter,Water Flow Meter,5,Healthy,2026-04-01T08:33:00,22.9,100
SEN-035,Eden Gardens - VIP Lounge North 1 - Escalator Vibration Sensor,Escalator Vibration Sensor,28,Healthy,2026-04-01T08:34:00,0.186,87
SEN-036,Narendra Modi Stadium - Club Clubhouse 1 - Escalator Vibration Sensor,Escalator Vibration Sensor,2,Healthy,2026-04-01T08:35:00,0.138,92
SEN-037,Wankhede Stadium - Concourse Lower A 1 - Backup Generator,Backup Generator,35,Healthy,2026-04-01T08:36:00,0.0,96
SEN-038,Narendra Modi Stadium - Concourse Lower B 1 - HVAC Temp Sensor,HVAC Temp Sensor,9,Healthy,2026-04-01T08:37:00,21.8,90
SEN-039,Wankhede Stadium - Corporate Box B 1 - Backup Generator,Backup Generator,34,Healthy,2026-04-01T08:38:00,0.0,96
SEN-040,Narendra Modi Stadium - South Stand 1 - Lighting Controller,Lighting Controller,16,Healthy,2026-04-01T08:39:00,50.0,89
SEN-041,Narendra Modi Stadium - Food Court West 1 - Escalator Vibration Sensor,Escalator Vibration Sensor,7,Healthy,2026-04-01T08:40:00,0.414,95
SEN-042,Eden Gardens - West Stand 1 - Lighting Controller,Lighting Controller,23,Healthy,2026-04-01T08:41:00,0.0,99
SEN-043,Narendra Modi Stadium - South Stand 1 - HVAC Temp Sensor,HVAC Temp Sensor,16,Healthy,2026-04-01T08:42:00,22.4,88
SEN-044,Eden Gardens - VIP Lounge South 1 - Wi-Fi Access Point,Wi-Fi Access Point,29,Healthy,2026-04-01T08:43:00,212,91
SEN-045,Eden Gardens - Press Box 1 - Lighting Controller,Lighting Controller,18,Healthy,2026-04-01T08:44:00,80.0,94
SEN-046,Eden Gardens - Corporate Box B 1 - Lighting Controller,Lighting Controller,20,Healthy,2026-04-01T08:45:00,80.0,91
SEN-047,Eden Gardens - VIP Lounge South 1 - Lighting Controller,Lighting Controller,29,Healthy,2026-04-01T08:46:00,0.0,93
SEN-048,Wankhede Stadium - Corporate Box B 1 - Backup Generator,Backup Generator,34,Healthy,2026-04-01T08:47:00,0.0,93
SEN-049,Narendra Modi Stadium - High Court Stand 1 - Escalator Vibration Sensor,Escalator Vibration Sensor,11,Healthy,2026-04-01T08:48:00,0.251,97
SEN-050,Wankhede Stadium - VIP Lounge South 1 - Escalator Vibration Sensor,Escalator Vibration Sensor,39,Healthy,2026-04-01T08:49:00,0.151,92
SEN-051,Eden Gardens - VIP Lounge North 1 - Escalator Vibration Sensor,Escalator Vibration Sensor,28,Healthy,2026-04-01T08:50:00,0.438,94
SEN-052,Eden Gardens - West Stand 1 - Water Flow Meter,Water Flow Meter,23,Healthy,2026-04-01T08:51:00,31.5,100
SEN-053,Wankhede Stadium - High Court Stand 1 - Backup Generator,Backup Generator,37,Healthy,2026-04-01T08:52:00,12.0,87
SEN-054,Narendra Modi Stadium - South Pavilion 1 - Backup Generator,Backup Generator,6,Healthy,2026-04-01T08:53:00,0.0,96
SEN-055,Wankhede Stadium - Food Court West 1 - Backup Generator,Backup Generator,36,Healthy,2026-04-01T08:54:00,12.0,89
SEN-056,Eden Gardens - East Stand 1 - Wi-Fi Access Point,Wi-Fi Access Point,21,Healthy,2026-04-01T08:55:00,234,86
SEN-057,Wankhede Stadium - VIP Lounge South 1 - Water Flow Meter,Water Flow Meter,39,Healthy,2026-04-01T08:56:00,40.3,88
SEN-058,Wankhede Stadium - Medical Center A 1 - Escalator Vibration Sensor,Escalator Vibration Sensor,33,Healthy,2026-04-01T08:57:00,0.324,94
SEN-059,Narendra Modi Stadium - Concourse Upper A 1 - Water Flow Meter,Water Flow Meter,5,Healthy,2026-04-01T08:58:00,34.0,87
SEN-060,Eden Gardens - Club Clubhouse 1 - Escalator Vibration Sensor,Escalator Vibration Sensor,24,Maintenance Required,2026-04-01T08:59:00,0.281,44
SEN-061,Narendra Modi Stadium - Press Box 1 - Lighting Controller,Lighting Controller,10,Healthy,2026-04-01T09:00:00,50.0,92
SEN-062,Wankhede Stadium - Grand Stand 1 - Escalator Vibration Sensor,Escalator Vibration Sensor,38,Healthy,2026-04-01T09:01:00,0.212,93
SEN-063,Wankhede Stadium - South Stand 1 - Backup Generator,Backup Generator,32,Healthy,2026-04-01T09:02:00,12.0,93
SEN-064,Narendra Modi Stadium - Club Clubhouse 1 - Escalator Vibration Sensor,Escalator Vibration Sensor,2,Healthy,2026-04-01T09:03:00,0.074,88
SEN-065,Wankhede Stadium - Food Court West 1 - Backup Generator,Backup Generator,36,Healthy,2026-04-01T09:04:00,100.0,92
