incident_id,timestamp,stadium_id,zone_id,incident_type,severity,description,reported_by,ai_detected,ai_confidence,assigned_team,response_time_minutes,resolution_time_minutes,status
1,2026-04-02T04:43:00,3,34,Crowd,High,Congestion near turnstiles,Spectator App,True,0.89,Crowd Control Team 1,2,47,Resolved
2,2026-04-03T00:13:00,1,3,Weather,Low,Reported weather event details logged by staff,CCTV Video Analytics,False,0.0,Security Patrol Beta,14,71,Verified
3,2026-04-06T05:15:00,3,35,Ticket Fraud,Low,Reported ticket fraud event details logged by staff,Spectator App,True,0.87,Maintenance Crew Red,7,102,Assigned
4,2026-04-02T10:15:00,1,4,Facility,Medium,Floodlight panel flickering,Gate Supervisor,False,0.0,First Aid Squad A,29,59,Monitoring
5,2026-04-07T13:10:00,3,39,Medical,Low,Dehydration in stand,Spectator App,True,0.83,Crowd Control Team 1,27,36,Responding
6,2026-04-03T13:37:00,1,8,Medical,Low,Visitor complaining of chest pain,Spectator App,True,0.9,Security Patrol Beta,13,50,Verified
7,2026-04-05T21:24:00,2,26,Weather,Medium,Reported weather event details logged by staff,Steward #1402,True,0.98,Fire Dispatch,13,105,Monitoring
8,2026-04-04T08:58:00,1,9,Crowd,Low,Congestion near turnstiles,Sensor Node AI,True,0.81,Security Patrol Beta,11,38,Assigned
9,2026-04-03T09:53:00,3,31,Crowd,Low,Stairwell bottlenecks developing,Sensor Node AI,True,0.93,Fire Dispatch,24,100,Assigned
10,2026-04-08T09:48:00,3,33,Ticket Fraud,Critical,Reported ticket fraud event details logged by staff,Gate Supervisor,True,0.87,Security Patrol Beta,3,27,Reported
11,2026-04-06T22:35:00,3,38,Facility,Low,Escalator 2 stopped operating,Spectator App,True,0.93,Security Patrol Beta,25,33,Reported
12,2026-04-07T01:00:00,1,8,Weather,Low,Reported weather event details logged by staff,CCTV Video Analytics,True,0.88,Security Patrol Beta,15,25,Assigned
13,2026-04-02T07:45:00,1,14,Suspicious Activity,Medium,Reported suspicious activity event details logged by staff,Sensor Node AI,False,0.0,Guest Services Team,24,36,Assigned
14,2026-04-06T13:50:00,2,23,Medical,Medium,Sprained ankle on steps,Sensor Node AI,False,0.0,Guest Services Team,14,116,Reported
15,2026-04-02T23:16:00,3,36,Weather,Low,Reported weather event details logged by staff,CCTV Video Analytics,False,0.0,Fire Dispatch,26,25,Verified
16,2026-04-05T08:19:00,2,27,Crowd,Medium,Slow moving crowd blockages,Gate Supervisor,False,0.0,Guest Services Team,26,40,Resolved
17,2026-04-07T21:47:00,1,8,Facility,Low,Floodlight panel flickering,CCTV Video Analytics,True,0.82,Fire Dispatch,6,90,Resolved
18,2026-04-01T22:45:00,2,23,Missing Person,Low,Reported missing person event details logged by staff,Sensor Node AI,False,0.0,Fire Dispatch,13,63,Monitoring
19,2026-04-04T10:33:00,1,11,Suspicious Activity,Low,Reported suspicious activity event details logged by staff,CCTV Video Analytics,True,0.95,Maintenance Crew Red,14,80,Responding
20,2026-04-01T15:09:00,1,6,Facility,High,Escalator 2 stopped operating,Steward #1402,False,0.0,Guest Services Team,2,44,Responding
21,2026-04-05T19:36:00,2,19,Weather,Low,Reported weather event details logged by staff,Spectator App,True,0.78,Maintenance Crew Red,23,101,Reported
22,2026-04-02T15:46:00,1,8,Crowd,Low,Gate rush attempts,Spectator App,True,0.74,Guest Services Team,10,109,Resolved
23,2026-04-07T16:35:00,3,40,Missing Person,Low,Reported missing person event details logged by staff,Sensor Node AI,True,0.89,Guest Services Team,8,87,Responding
24,2026-04-08T08:18:00,1,12,Crowd,Low,Congestion near turnstiles,Steward #1402,True,0.8,Maintenance Crew Red,19,63,Assigned
25,2026-04-02T14:51:00,1,6,Missing Person,Medium,Reported missing person event details logged by staff,CCTV Video Analytics,True,0.72,First Aid Squad A,20,68,Closed
26,2026-04-08T02:51:00,1,5,Fire,Low,Trash bin smoldering,Steward #1402,False,0.0,Fire Dispatch,28,84,Closed
27,2026-04-03T11:02:00,3,33,Suspicious Activity,Low,Reported suspicious activity event details logged by staff,Spectator App,True,0.78,Security Patrol Beta,18,101,Assigned
