assignment_id,staff_id,shift_id,zone_id,task_description,status
1,661,226,37,Perform Guest Services duties in assigned zone area.,Completed
2,767,238,5,Perform Facilities duties in assigned zone area.,Completed
3,519,160,27,Perform Administration duties in assigned zone area.,Completed
4,194,244,37,Perform Facilities duties in assigned zone area.,Completed
5,819,113,1,Perform Security duties in assigned zone area.,Completed
6,1423,246,23,Perform Crowd Control duties in assigned zone area.,Completed
7,287,226,7,Perform Guest Services duties in assigned zone area.,In Progress
8,926,194,2,Perform Facilities duties in assigned zone area.,In Progress
9,307,141,3,Perform Administration duties in assigned zone area.,Scheduled
10,404,174,21,Perform Crowd Control duties in assigned zone area.,In Progress
11,931,199,18,Perform Facilities duties in assigned zone area.,In Progress
12,37,120,13,Perform Medical duties in assigned zone area.,In Progress
13,319,196,35,Perform Administration duties in assigned zone area.,Completed
14,1,106,26,Perform Facilities duties in assigned zone area.,Completed
15,1156,108,36,Perform Facilities duties in assigned zone area.,Completed
16,159,151,39,Perform Guest Services duties in assigned zone area.,In Progress
17,786,168,10,Perform Security duties in assigned zone area.,In Progress
18,436,134,21,Perform Administration duties in assigned zone area.,Completed
19,328,178,5,Perform Facilities duties in assigned zone area.,In Progress
20,829,148,28,Perform Security duties in assigned zone area.,Completed
21,32,106,37,Perform Facilities duties in assigned zone area.,In Progress
22,127,110,32,Perform Security duties in assigned zone area.,Completed
23,1331,136,14,Perform Security duties in assigned zone area.,Completed
24,319,155,22,Perform Administration duties in assigned zone area.,Completed
25,1415,121,11,Perform Facilities duties in assigned zone area.,Scheduled
26,705,250,10,Perform Security duties in assigned zone area.,Completed
27,952,209,3,Perform Crowd Control duties in assigned zone area.,In Progress
28,1290,226,20,Perform Crowd Control duties in assigned zone area.,Completed
29,869,233,39,Perform Facilities duties in assigned zone area.,In Progress
30,423,145,6,Perform Security duties in assigned zone area.,In Progress
31,984,180,19,Perform Administration duties in assigned zone area.,Completed
32,561,200,11,Perform Facilities duties in assigned zone area.,Completed
33,1045,241,35,Perform Medical duties in assigned zone area.,Completed
34,1436,144,29,Perform Facilities duties in assigned zone area.,In Progress
35,922,210,5,Perform Security duties in assigned zone area.,Completed
36,296,108,18,Perform Security duties in assigned zone area.,In Progress
37,853,248,14,Perform Facilities duties in assigned zone area.,In Progress
38,1246,109,37,Perform Medical duties in assigned zone area.,Completed
39,1128,150,11,Perform Security duties in assigned zone area.,In Progress
